"LOJA";"TIPO_CLIENTE";"COMENTARIO";"CATEGORIA_MODELO";"CATEGORIA_ANOTADOR_1";"CATEGORIA_ANOTADOR_2";"OBSERVACOES"
"L5199-CASA VERDE";"neutro";"A interface não deixa claro a modalidade de entrega escolhida e abre espaço para dúvidas. Eu mesmo, profissional da área de design acabei escolhendo errado e tive que me locomover até a loja física.";"entrega_logistica";"outros";"outros";""
"L5047-SAO BERNARDO (1255)";"promotor";"Senti falta de opções de carnes suinas";"abastecimento";"abastecimento";"produto";""
"L5069-AGUA RASA (1322)";"neutro";"Precisa ficar mais barato, cortes com menor tamanho (peso).";"abastecimento";"produto";"produto";""
"L5231-SOROCABA PANNUNZIO";"promotor";"Poderiam disponibilizar produtos resfriados, hoje somente possuem produtos congelados";"abastecimento";"produto";"produto";""
"L5018-MOEMA JURUCE (0584)";"neutro";"Estacionamento a desejar. Um FDP com uma camionete usou 3 vagas parando todo torto na vaga. Tive que pagar zona azul porque estava com pressa e tinha que parar. Falta um funcionário no estacionamento para orientar esses sem ""noções"". Já passei direto outras vezes, pois as vagas são poucas e tem ""jumentos"" que não sabem viver em sociedade e pensam que são reis!";"promocoes_fidelidade";"loja_fisica";"loja_fisica";""
"L5099-VILA MATILDE (1421)";"detrator";"Picanha ouro, pessima e dura, 110. O kilo, cara pra qualidade, não é a primeira vez, que compro e me arrependo, dura";"produto";"produto";"produto";""
"L5159-COTIA KM 39";"detrator";"Comprei um produto e não tinha na loja no ato da compra deveria ser avisado";"abastecimento";"abastecimento";"abastecimento";""
"L5017-LEOPOLDINA (0576)";"detrator";"Entregando corretamente o que foi comprado";"produto";"entrega_logistica";"entrega_logistica";""
"L5278-ITAPECERICA DA SERRA";"promotor";"Ta tudo ótimo";"produto";"outros";"outros";""
"L5117-NOVA GRANADA";"neutro";"Não encontrei linguiça de pernil, e a picanha legado estava toda dura até mesmo a ponta dela.
";"produto";"abastecimento";"produto";""
"L5103-ATIBAIA (1454)";"detrator";"Parem de vender a marca combo ou avisem que a picanha é dura mesmo e só dá pra fazer cozida";"produto";"produto";"produto";""
"L5124-BOTUCATU";"detrator";"Contato fácil para saber a data de entrega";"entrega_logistica";"entrega_logistica";"entrega_logistica";""
"L5086-PORTAL DO MORUMBI (1352)";"detrator";"Precisa melhorar o processo industrial dos espetinhos de carne bovina e frango. Os pedaços não ficam totalmente presos no palito. Toda vez tenho que desmanchar os espetos e espetar os pedaços um a um nos palitos. Poderiam criar um ""linha premium"" com pedaços espetados um a um. Eu compraria.";"produto";"produto";"produto";""
"L5185-CLODOMIRO";"detrator";"porque os medalhoes de filet migon estã vindo (já é a segunda vez) com uma cor estranha.";"abastecimento";"produto";"produto";""
"L5154-RIO CLARO";"promotor";"Tudo excelente, desde os produtos até a rapidez na entrega. Amei!";"entrega_logistica";"entrega_logistica";"produto";""
"L5014-ROUXINOL (0567)";"detrator";"Loja da Moema Rouxinol diz que ficar aberta aos domingos até as 15:00, porém nos últimos 3 domingos fui lá antes das 14:00 e a loja estava fechada.";"abastecimento";"loja_fisica";"loja_fisica";""
"L5198-VILA RESENDE";"detrator";"Comprei cupim já temperado. Levei para assar conforme instruções! Porém quase no final. Ele deu dois estouros no forno, fazendo o maior fumaceiro e sujou todo o forno, além disso ainda ficou duro ????";"produto";"produto";"produto";""
"L5144-EMBU DAS ARTES";"promotor";"Barateando os preços";"outros";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5082-VILA ANDRADE (1346)";"detrator";"Ficou faltando 2 pacotes de linguiça calabresa que foi faturado e não recebi. 
Aguardo os itens, abri chamado e nada";"abastecimento";"abastecimento";"abastecimento";""
"L5259-ALL WAYS MALL";"promotor";"Só abaixar um pouquinho o preço dos produtos.";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5099-VILA MATILDE (1421)";"detrator";"Melhorar o clima organizacional para que os atendentes sejam mais cordiais e ter uma ordem lógica de disposição dos itens, ficam, mudando tudo de lugar constantemente e ficamos perdidos na loja";"loja_fisica";"atendimento";"atendimento";""
"L5202-VILA CAICARA";"promotor";"Com identificação dos produtos e valores";"abastecimento";"loja_fisica";"loja_fisica";""
"L5139-SBC RUDGE RAMOS";"neutro";"Problema no estacionamento 
Somente um funcionário, fila na caixa.";"loja_fisica";"loja_fisica";"loja_fisica";""
"L5111-VINHEDO";"promotor";"Poderiam ter as aves e outros cortes de natal o ano todo.";"abastecimento";"abastecimento";"abastecimento";""
"L5020-VILA MARIANA 2 (0779)";"detrator";"Fazendo uma inspeção ( fiscalização ) periódica , no estabelecimento , sem aviso prévio .
Já deixei de frequentar duas lojas de vocês ; estou partindo para uma terceira …!";"produto";"outros";"outros";""
"L5218-PARELHEIROS";"promotor";"Gostei muito da experiência, super recomendo";"atendimento";"outros";"outros";""
"L5109-SANTOS POMPEIA";"promotor";"Dar descontos maiores para clientes fiéis!";"promocoes_fidelidade";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5229-GLAUCIO GIL";"promotor";"Gosto de tudo.";"produto";"outros";"outros";""
"L5002-ALPHAVILLE (0290)";"promotor";"Mais foncionario e uma loja 24 horas";"promocoes_fidelidade";"atendimento";"loja_fisica";""
"L5112-BAURU";"neutro";"Gostaria de encontrar mais frutas congeladas. As abas das marmitas ocupam um espaço desnecessário no congelador. As marmitas poderiam sem quadradas, sem alças. Não encontrei a costelinha de tambaqui. Um dos bolos que comprei estava estragado
";"produto";"produto";"produto";""
"L5242-RECREIO";"detrator";"Comprei duas peças de uma fraldinha da marca Combo. Nunca comi uma fralda tão dura em toda minha vida. Impossível de comer. Denigre a marca Swift.";"produto";"produto";"produto";""
"L5136-RIB.PRETO ALTO DA BOA VISTA";"promotor";"Bastante variedade de produtos e disponibilidades porém os preços são bem acima do mercado";"abastecimento";"promocoes_fidelidade";"promocoes_fidelidade";""
"L5209-ITABERABA";"neutro";"Faltou queijo de Coalho, e o aplicativo não avisa que não tinha entrega na data do pedido.";"entrega_logistica";"abastecimento";"abastecimento";""
"L5165-MOGI DAS CRUZES MOGILAR";"detrator";"Comprei 6 hambúrguer ontem na loja, porém estava com gosto muito ruim, com cheiro  e gosto de gordura velha. Fiquei muito decepcionado com essa experiência de ontem com esses produtos da Swift.";"produto";"produto";"produto";""
"L5169-JACAREI";"promotor";"Comprei uma peça de bacon em pedaços e ao fritar subiu um cheiro horrível, de estragado, não sei como pode evitar esse problema, fora isso, TD certo por enquanto, não consumi TD ainda, mas com certeza farei nova compra com vcs!";"produto";"produto";"produto";""
"L5148-PARQUE DO CARMO";"neutro";"Algumas carnes com muita gordura deveriam estar explícitos na embalagem, me senti enganada quando comprei carne de panela e tinha muita gordura.";"produto";"produto";"produto";""
"L5058-JD. BONFIGLIOLI (1291)";"promotor";"A atendente Vanessa sempre muito prestativa, se preocupa em separar os produtos garantindo a qualidade.";"loja_fisica";"atendimento";"atendimento";""
