centro_nv2;total_com;pct_positivo;pct_neutro;pct_negativo;nps_tradicional;nps_ajustado;delta;alerta;flag;top3_problemas;top3_elogios;sentimento_medio
L5001-RIBEIRAO PRETO (0217);659;0.0;0.0;0.0;88.070796460177;88.070796460177;0.0;ESTAVEL;REGULAR;;;
L5002-ALPHAVILLE (0290);785;0.0;0.0;0.0;86.2298195631529;86.2298195631529;0.0;ESTAVEL;REGULAR;;;
L5003-LINS (0340);403;0.0;0.0;0.0;88.96028037383178;88.96028037383178;0.0;ESTAVEL;REGULAR;;;
L5004-CAMPO BELO (0448);563;0.0;0.0;0.0;84.7764572722128;84.7764572722128;0.0;ESTAVEL;REGULAR;;;
L5005-BROOKLIN (0475);514;0.0;0.0;0.0;83.25455773126265;83.25455773126265;0.0;ESTAVEL;TOCADORA;;;
L5006-MARAJOARA (0487);572;0.0;0.0;0.0;82.70408163265306;82.70408163265306;0.0;ESTAVEL;REGULAR;;;
L5007-KLABIN (0496);524;0.0;0.0;0.0;76.25845229151015;76.25845229151015;0.0;ESTAVEL;TOCADORA;;;
L5008-SCS MAUA (0500);565;0.0;0.0;0.0;86.86131386861314;86.86131386861314;0.0;ESTAVEL;REGULAR;;;
L5009-PIRITUBA (0508);573;0.0;0.0;0.0;86.59742828882295;86.59742828882295;0.0;ESTAVEL;TOCADORA;;;
L5012-SOROCABA (0527);272;0.0;0.0;0.0;91.37353433835848;91.37353433835848;0.0;ESTAVEL;REGULAR;;;
L5013-GRANJA VIANA (0545);759;0.0;0.0;0.0;87.72123893805309;87.72123893805309;0.0;ESTAVEL;REGULAR;;;
L5014-ROUXINOL (0567);390;0.0;0.0;0.0;80.93126385809313;80.93126385809313;0.0;ESTAVEL;TOCADORA;;;
L5015-BARAO ITAPURA (0570);341;0.0;0.0;0.0;88.09373020899304;88.09373020899304;0.0;ESTAVEL;TOCADORA;;;
L5016-ANDRADINA (0573);342;0.0;0.0;0.0;93.45345345345343;93.45345345345343;0.0;ESTAVEL;REGULAR;;;
L5017-LEOPOLDINA (0576);415;0.0;0.0;0.0;79.03109182935647;79.03109182935647;0.0;ESTAVEL;TOCADORA;;;
L5018-MOEMA JURUCE (0584);859;0.0;0.0;0.0;87.81798638480831;87.81798638480831;0.0;ESTAVEL;REGULAR;;;
