centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5200-JUVENTUS;TOCADORA;SP;Capital;333;69;25;20.72;37.10762762762763;78.60000000000001;44.14414414414414;36.03603603603604;40.54054054054054;1383.0;804.0;102653.0;-8.11;-3.6;80.36;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5174-PERI PERI;TOCADORA;SP;Capital;478;95;40;19.87;34.37771966527197;80.217;52.719665271966534;43.72384937238494;46.86192468619247;1700.0;973.0;97142.0;-9.0;-5.86;77.27;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5017-LEOPOLDINA (0576);TOCADORA;SP;Capital;389;76;32;19.54;34.8473264781491;80.52000000000001;43.70179948586118;42.673521850899746;42.41645244215938;1383.0;848.0;85393.0;-1.03;-1.29;77.21;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5186-VILA DAS MERCES;REGULAR;SP;Capital;450;93;29;20.67;34.2302;79.59100000000001;51.77777777777778;43.77777777777778;48.22222222222222;1907.0;985.0;126815.0;-8.0;-3.56;76.68;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5070-BORGES LAGOA (1323);TOCADORA;SP;Capital;527;101;44;19.17;34.56998102466793;79.668;52.371916508538895;43.833017077798864;48.38709677419355;1742.0;1044.0;88609.0;-8.54;-3.98;76.27;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5007-KLABIN (0496);TOCADORA;SP;Capital;488;96;37;19.67;34.036290983606555;80.507;52.459016393442624;44.67213114754098;49.385245901639344;1331.0;935.0;64043.0;-7.79;-3.07;75.04;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5149-ALTO DA MOOCA;REGULAR;SP;Capital;660;121;36;18.33;34.22539393939394;80.103;56.36363636363636;45.909090909090914;50.0;2815.0;1275.0;173701.0;-10.45;-6.36;74.06;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5152-ALTO DA BOA VISTA;TOCADORA;SP;Capital;1027;175;76;17.04;33.571256085686464;80.806;56.9620253164557;49.074975657254136;54.43037974683544;3369.0;1699.0;138715.0;-7.89;-2.53;73.73;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5074-VOLUNTARIOS DA PATRIA (1335);TOCADORA;SP;Capital;393;75;30;19.08;33.792671755725195;78.88;52.41730279898219;44.529262086513995;48.854961832061065;1423.0;881.0;86299.0;-7.89;-3.56;73.43;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5082-VILA ANDRADE (1346);REGULAR;SP;Capital;486;90;30;18.52;33.92008230452675;81.255;52.2633744855967;45.47325102880658;48.76543209876543;1486.0;963.0;123177.0;-6.79;-3.5;73.15;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5033-SANTANA (0868);TOCADORA;SP;Capital;276;56;19;20.29;33.22159420289855;78.74;51.449275362318836;44.565217391304344;47.46376811594203;1030.0;704.0;72344.0;-6.88;-3.99;72.77;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5206-CACHOEIRINHA;TOCADORA;SP;Capital;444;85;31;19.14;33.12972972972973;80.388;55.4054054054054;46.846846846846844;53.82882882882883;1802.0;951.0;81414.0;-8.56;-1.58;71.6;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5081-VILA OLIMPIA (1345);TOCADORA;SP;Capital;234;44;18;18.8;33.742051282051285;77.441;48.29059829059829;43.162393162393165;45.72649572649573;897.0;603.0;75893.0;-5.13;-2.56;71.25;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5014-ROUXINOL (0567);TOCADORA;SP;Capital;367;66;18;17.98;34.18692098092643;77.81400000000001;48.50136239782017;43.596730245231605;45.776566757493185;1353.0;834.0;107426.0;-4.9;-2.72;70.77;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5078-CAMPO BELO 2 (1342);TOCADORA;SP;Capital;409;76;30;18.58;32.95518337408313;78.25;52.07823960880196;47.18826405867971;53.0562347188264;1368.0;850.0;74139.0;-4.89;0.98;70.57;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5027-ACLIMACAO (0851);TOCADORA;SP;Capital;463;78;33;16.85;32.77518358531317;78.59400000000001;53.56371490280778;48.16414686825054;50.75593952483801;1837.0;1011.0;144210.0;-5.4;-2.81;69.78;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
