centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5001-RIBEIRAO PRETO (0217);88.070796460177;88.070796460177;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5002-ALPHAVILLE (0290);86.2298195631529;86.2298195631529;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5003-LINS (0340);88.96028037383178;88.96028037383178;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5004-CAMPO BELO (0448);84.7764572722128;84.7764572722128;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5005-BROOKLIN (0475);83.25455773126265;83.25455773126265;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5006-MARAJOARA (0487);82.70408163265306;82.70408163265306;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5007-KLABIN (0496);76.25845229151015;76.25845229151015;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5008-SCS MAUA (0500);86.86131386861314;86.86131386861314;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5009-PIRITUBA (0508);86.59742828882295;86.59742828882295;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5012-SOROCABA (0527);91.37353433835847;91.37353433835847;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5013-GRANJA VIANA (0545);87.72123893805309;87.72123893805309;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5014-ROUXINOL (0567);80.93126385809313;80.93126385809313;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5015-BARAO ITAPURA (0570);88.09373020899304;88.09373020899304;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5016-ANDRADINA (0573);93.45345345345345;93.45345345345345;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5017-LEOPOLDINA (0576);79.03109182935647;79.03109182935647;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5018-MOEMA JURUCE (0584);87.81798638480831;87.81798638480831;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5019-ANGELICA (0684);84.67573221757321;84.67573221757321;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5020-VILA MARIANA 2 (0779);78.72111767866738;78.72111767866738;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5021-VILA SAUDE (0782);82.80445969125213;82.80445969125213;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5022-SAO CAETANO CENTRO (0811);87.15277777777779;87.15277777777779;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5023-JOSE BONIFACIO (0813);86.74275680421422;86.74275680421422;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5024-VALINHOS (0814);88.23529411764706;88.23529411764706;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
