centro_nv2;total;positivo;neutro;negativo;pct_positivo;pct_neutro;pct_negativo;flag
L5186-VILA DAS MERCES;450;290;67;93;64.4;14.9;20.7;REGULAR
L5200-JUVENTUS;333;189;75;69;56.8;22.5;20.7;TOCADORA
L5033-SANTANA (0868);276;179;41;56;64.9;14.9;20.3;TOCADORA
L5174-PERI PERI;478;304;79;95;63.6;16.5;19.9;TOCADORA
L5007-KLABIN (0496);488;314;78;96;64.3;16.0;19.7;TOCADORA
L5017-LEOPOLDINA (0576);389;242;71;76;62.2;18.3;19.5;TOCADORA
L5070-BORGES LAGOA (1323);527;332;94;101;63.0;17.8;19.2;TOCADORA
L5206-CACHOEIRINHA;444;293;66;85;66.0;14.9;19.1;TOCADORA
L5074-VOLUNTARIOS DA PATRIA (1335);393;250;68;75;63.6;17.3;19.1;TOCADORA
L5015-BARAO ITAPURA (0570);308;203;47;58;65.9;15.3;18.8;TOCADORA
L5081-VILA OLIMPIA (1345);234;145;45;44;62.0;19.2;18.8;TOCADORA
L5078-CAMPO BELO 2 (1342);409;269;64;76;65.8;15.6;18.6;TOCADORA
L5082-VILA ANDRADE (1346);486;311;85;90;64.0;17.5;18.5;REGULAR
L5149-ALTO DA MOOCA;660;424;115;121;64.2;17.4;18.3;REGULAR
L5095-VILLA LOBOS (1380);550;379;72;99;68.9;13.1;18.0;TOCADORA
L5014-ROUXINOL (0567);367;226;75;66;61.6;20.4;18.0;TOCADORA
L5136-RIB.PRETO ALTO DA BOA VISTA;236;161;34;41;68.2;14.4;17.4;REGULAR
L5006-MARAJOARA (0487);530;358;81;91;67.5;15.3;17.2;REGULAR
L5055-CAMBUCI (1284);617;419;92;106;67.9;14.9;17.2;TOCADORA
L5107-MANDAQUI (1521);322;206;61;55;64.0;18.9;17.1;TOCADORA
L5187-MUTIRAO;358;255;42;61;71.2;11.7;17.0;REGULAR
L5152-ALTO DA BOA VISTA;1027;679;173;175;66.1;16.8;17.0;TOCADORA
L5037-VILA ROMANA (0880);477;317;79;81;66.5;16.6;17.0;TOCADORA
L5083-BARCELONA (1347);324;223;46;55;68.8;14.2;17.0;REGULAR
L5027-ACLIMACAO (0851);463;301;84;78;65.0;18.1;16.8;TOCADORA
L5185-CLODOMIRO;443;311;58;74;70.2;13.1;16.7;TOCADORA
L5156-JARDIM PRUDENCIA;474;326;69;79;68.8;14.6;16.7;REGULAR
L5049-RIB.PRETO INDEPENDENCIA (1266);326;226;46;54;69.3;14.1;16.6;REGULAR
