nivel;valor;lojas;lojas_regular;lojas_tocadora;nps_tradicional;nps_textual;nps_hibrido;pct_negativo;severidade_media;transacoes;indice_prioridade
regiao;Capital;91;46;45;62.45;56.48;59.88;14.05;29.8;11141140.0;58.9
regiao;DF;7;7;0;66.95;61.22;64.33;11.11;27.82;560932.0;48.69
regiao;GO;1;1;0;61.73;54.19;58.38;17.04;29.77;66046.0;61.72
regiao;Interior;57;51;6;69.23;64.28;67.63;11.26;26.45;5297471.0;46.04
regiao;Litoral;17;16;1;71.95;66.81;69.83;10.2;25.94;2265418.0;45.61
regiao;RJ;8;8;0;70.46;63.8;67.57;10.52;27.44;867891.0;49.57
regiao;RMSP;46;40;6;66.99;61.68;65.09;12.41;27.69;5429897.0;51.48
uf;DF;7;7;0;66.95;61.22;64.33;11.11;27.82;560932.0;48.69
uf;GO;1;1;0;61.73;54.19;58.38;17.04;29.77;66046.0;61.72
uf;RJ;8;8;0;70.46;63.8;67.57;10.52;27.44;867891.0;49.57
uf;SP;211;153;58;66.03;60.55;63.91;12.63;28.12;24133926.0;52.74
